Data set,layers,maxGen,pop_size,mutation_rate,mutation_range,crossover_rate,loss1,loss2,average1,average2
abalone,0,500,500,0.5,10,0.5,0.077655414252637,0.010937724950395,0.07586095961958,0.010730451914813
abalone,0,500,500,0.5,10,0.5,0.074785021048758,0.01041079350707,0.07586095961958,0.010730451914813
abalone,0,500,500,0.5,10,0.5,0.07790399712617,0.011732722366103,0.07586095961958,0.010730451914813
abalone,0,500,500,0.5,10,0.5,0.072274396996101,0.009498299508424,0.07586095961958,0.010730451914813
abalone,0,500,500,0.5,10,0.5,0.076872204733777,0.011520233784564,0.07586095961958,0.010730451914813
abalone,0,500,500,0.5,10,0.5,0.076583046616446,0.010697752068679,0.07586095961958,0.010730451914813
abalone,0,500,500,0.5,10,0.5,0.077045592025106,0.011412870655212,0.07586095961958,0.010730451914813
abalone,0,500,500,0.5,10,0.5,0.074770859400121,0.010645966032787,0.07586095961958,0.010730451914813
abalone,0,500,500,0.5,10,0.5,0.074110234391935,0.010018605026818,0.07586095961958,0.010730451914813
abalone,0,500,500,0.5,10,0.5,0.076608829604744,0.010429551248079,0.07586095961958,0.010730451914813
abalone,1,500,500,0.8,10,0.2,0.059697262750033,0.006027731427138,0.057379153475362,0.006294699456333
abalone,1,500,500,0.8,10,0.2,0.054762604904768,0.005762758926743,0.057379153475362,0.006294699456333
abalone,1,500,500,0.8,10,0.2,0.060145033081156,0.006791426544407,0.057379153475362,0.006294699456333
abalone,1,500,500,0.8,10,0.2,0.059371623670565,0.006967278111063,0.057379153475362,0.006294699456333
abalone,1,500,500,0.8,10,0.2,0.05720493803185,0.006361244791856,0.057379153475362,0.006294699456333
abalone,1,500,500,0.8,10,0.2,0.053218682100188,0.005827553575217,0.057379153475362,0.006294699456333
abalone,1,500,500,0.8,10,0.2,0.057473690547919,0.006197581959926,0.057379153475362,0.006294699456333
abalone,1,500,500,0.8,10,0.2,0.056855399096153,0.006110564369971,0.057379153475362,0.006294699456333
abalone,1,500,500,0.8,10,0.2,0.056447855920712,0.006075411475395,0.057379153475362,0.006294699456333
abalone,1,500,500,0.8,10,0.2,0.05861444465028,0.006825443381613,0.057379153475362,0.006294699456333
abalone,2,500,500,0.2,10,0.2,0.051643370364849,0.004823238250722,0.055903338478872,0.006051281073104
abalone,2,500,500,0.2,10,0.2,0.05541858575922,0.005627289483538,0.055903338478872,0.006051281073104
abalone,2,500,500,0.2,10,0.2,0.058660097490842,0.006243333797813,0.055903338478872,0.006051281073104
abalone,2,500,500,0.2,10,0.2,0.053377280458028,0.00576068359045,0.055903338478872,0.006051281073104
abalone,2,500,500,0.2,10,0.2,0.057340514818972,0.006182866602799,0.055903338478872,0.006051281073104
abalone,2,500,500,0.2,10,0.2,0.057827667440537,0.006224299583638,0.055903338478872,0.006051281073104
abalone,2,500,500,0.2,10,0.2,0.060187210683625,0.006993087686904,0.055903338478872,0.006051281073104
abalone,2,500,500,0.2,10,0.2,0.056896769714046,0.006414649303889,0.055903338478872,0.006051281073104
abalone,2,500,500,0.2,10,0.2,0.052626558848555,0.005447037377106,0.055903338478872,0.006051281073104
abalone,2,500,500,0.2,10,0.2,0.055055329210045,0.00679632505418,0.055903338478872,0.006051281073104
Cancer,0,500,500,0.8,10,0.5,90.0306685749336,90,87.4524305583704,87.2732919254658
Cancer,0,500,500,0.8,10,0.5,87.4811256005491,87.1428571428571,87.4524305583704,87.2732919254658
Cancer,0,500,500,0.8,10,0.5,82.3080694185704,81.4285714285714,87.4524305583704,87.2732919254658
Cancer,0,500,500,0.8,10,0.5,85.7615502776793,85.7142857142857,87.4524305583704,87.2732919254658
Cancer,0,500,500,0.8,10,0.5,88.3431108292374,88.5714285714286,87.4524305583704,87.2732919254658
Cancer,0,500,500,0.8,10,0.5,85.8127230220253,85.7142857142857,87.4524305583704,87.2732919254658
Cancer,0,500,500,0.8,10,0.5,93.0253420049338,92.8571428571429,87.4524305583704,87.2732919254658
Cancer,0,500,500,0.8,10,0.5,87.5589957872384,87.1428571428571,87.4524305583704,87.2732919254658
Cancer,0,500,500,0.8,10,0.5,82.8571428571429,82.8571428571429,87.4524305583704,87.2732919254658
Cancer,0,500,500,0.8,10,0.5,91.3455772113943,91.304347826087,87.4524305583704,87.2732919254658
Cancer,1,500,500,0.5,10,0.2,97.1499060150376,97.1428571428571,95.5529191887458,95.5610766045549
Cancer,1,500,500,0.5,10,0.2,94.2857142857143,94.2857142857143,95.5529191887458,95.5610766045549
Cancer,1,500,500,0.5,10,0.2,95.6771750946508,95.7142857142857,95.5529191887458,95.5610766045549
Cancer,1,500,500,0.5,10,0.2,98.574096581982,98.5714285714286,95.5529191887458,95.5610766045549
Cancer,1,500,500,0.5,10,0.2,94.2857142857143,94.2857142857143,95.5529191887458,95.5610766045549
Cancer,1,500,500,0.5,10,0.2,97.1428571428571,97.1428571428571,95.5529191887458,95.5610766045549
Cancer,1,500,500,0.5,10,0.2,95.7393483709273,95.7142857142857,95.5529191887458,95.5610766045549
Cancer,1,500,500,0.5,10,0.2,95.7480143618757,95.7142857142857,95.5529191887458,95.5610766045549
Cancer,1,500,500,0.5,10,0.2,94.3197278911565,94.2857142857143,95.5529191887458,95.5610766045549
Cancer,1,500,500,0.5,10,0.2,92.6066378575418,92.7536231884058,95.5529191887458,95.5610766045549
Cancer,2,500,500,0.5,10,0.2,97.1428571428571,97.1428571428571,96.1376386874351,96.1345755693582
Cancer,2,500,500,0.5,10,0.2,97.1428571428571,97.1428571428571,96.1376386874351,96.1345755693582
Cancer,2,500,500,0.5,10,0.2,95.7480143618757,95.7142857142857,96.1376386874351,96.1345755693582
Cancer,2,500,500,0.5,10,0.2,98.574096581982,98.5714285714286,96.1376386874351,96.1345755693582
Cancer,2,500,500,0.5,10,0.2,94.2857142857143,94.2857142857143,96.1376386874351,96.1345755693582
Cancer,2,500,500,0.5,10,0.2,98.5654486513707,98.5714285714286,96.1376386874351,96.1345755693582
Cancer,2,500,500,0.5,10,0.2,97.1745738073213,97.1428571428571,96.1376386874351,96.1345755693582
Cancer,2,500,500,0.5,10,0.2,95.7480143618757,95.7142857142857,96.1376386874351,96.1345755693582
Cancer,2,500,500,0.5,10,0.2,92.8800611153552,92.8571428571429,96.1376386874351,96.1345755693582
Cancer,2,500,500,0.5,10,0.2,94.1147494231418,94.2028985507247,96.1376386874351,96.1345755693582
forestfires,0,500,500,0.2,10,0.5,0.155344039754424,0.038089253272002,0.167177608598822,0.041079738098092
forestfires,0,500,500,0.2,10,0.5,0.169829010974705,0.045776972617946,0.167177608598822,0.041079738098092
forestfires,0,500,500,0.2,10,0.5,0.173667965066833,0.040031136631379,0.167177608598822,0.041079738098092
forestfires,0,500,500,0.2,10,0.5,0.163818169260367,0.040072527973806,0.167177608598822,0.041079738098092
forestfires,0,500,500,0.2,10,0.5,0.150619568775306,0.030888514254759,0.167177608598822,0.041079738098092
forestfires,0,500,500,0.2,10,0.5,0.171544875919335,0.04784304977796,0.167177608598822,0.041079738098092
forestfires,0,500,500,0.2,10,0.5,0.145546362790834,0.027498888936832,0.167177608598822,0.041079738098092
forestfires,0,500,500,0.2,10,0.5,0.185007968365998,0.048355293994063,0.167177608598822,0.041079738098092
forestfires,0,500,500,0.2,10,0.5,0.188685189247402,0.058550589406055,0.167177608598822,0.041079738098092
forestfires,0,500,500,0.2,10,0.5,0.167712935833015,0.033691154116113,0.167177608598822,0.041079738098092
forestfires,1,500,500,0.5,10,0.2,0.150434675384532,0.036457498592748,0.165407022145683,0.041212589516616
forestfires,1,500,500,0.5,10,0.2,0.168568419725989,0.045720082521786,0.165407022145683,0.041212589516616
forestfires,1,500,500,0.5,10,0.2,0.17110978191801,0.039154828647221,0.165407022145683,0.041212589516616
forestfires,1,500,500,0.5,10,0.2,0.167595415324318,0.040508978240168,0.165407022145683,0.041212589516616
forestfires,1,500,500,0.5,10,0.2,0.148698222895889,0.030727337579372,0.165407022145683,0.041212589516616
forestfires,1,500,500,0.5,10,0.2,0.17669150300418,0.050618864834459,0.165407022145683,0.041212589516616
forestfires,1,500,500,0.5,10,0.2,0.141383572118509,0.029545079345368,0.165407022145683,0.041212589516616
forestfires,1,500,500,0.5,10,0.2,0.186036706512208,0.049903127866047,0.165407022145683,0.041212589516616
forestfires,1,500,500,0.5,10,0.2,0.175725128818245,0.054086271631837,0.165407022145683,0.041212589516616
forestfires,1,500,500,0.5,10,0.2,0.167826795754954,0.035403825907149,0.165407022145683,0.041212589516616
forestfires,2,500,500,0.2,10,0.5,0.144245074272868,0.035283624024845,0.166572254772097,0.042364967890738
forestfires,2,500,500,0.2,10,0.5,0.165599412583335,0.044809417186321,0.166572254772097,0.042364967890738
forestfires,2,500,500,0.2,10,0.5,0.167209037102111,0.038071973289302,0.166572254772097,0.042364967890738
forestfires,2,500,500,0.2,10,0.5,0.171495694122125,0.044470553139107,0.166572254772097,0.042364967890738
forestfires,2,500,500,0.2,10,0.5,0.161322830290809,0.038671207515735,0.166572254772097,0.042364967890738
forestfires,2,500,500,0.2,10,0.5,0.169688733006924,0.047569777724893,0.166572254772097,0.042364967890738
forestfires,2,500,500,0.2,10,0.5,0.158169604103837,0.03466405560638,0.166572254772097,0.042364967890738
forestfires,2,500,500,0.2,10,0.5,0.180623052561425,0.048299601450762,0.166572254772097,0.042364967890738
forestfires,2,500,500,0.2,10,0.5,0.178750712818324,0.056040483795592,0.166572254772097,0.042364967890738
forestfires,2,500,500,0.2,10,0.5,0.168618396859209,0.035768985174438,0.166572254772097,0.042364967890738
glass,0,500,500,0.5,10,0.2,37.8591105863833,45.4545454545455,52.6645480288679,56.1471861471862
glass,0,500,500,0.5,10,0.2,52.3529411764706,54.5454545454545,52.6645480288679,56.1471861471862
glass,0,500,500,0.5,10,0.2,70.9528439474964,68.1818181818182,52.6645480288679,56.1471861471862
glass,0,500,500,0.5,10,0.2,39.5365418894831,40.9090909090909,52.6645480288679,56.1471861471862
glass,0,500,500,0.5,10,0.2,48.2993197278912,52.3809523809524,52.6645480288679,56.1471861471862
glass,0,500,500,0.5,10,0.2,48.9383632240775,52.3809523809524,52.6645480288679,56.1471861471862
glass,0,500,500,0.5,10,0.2,42.8571428571429,52.3809523809524,52.6645480288679,56.1471861471862
glass,0,500,500,0.5,10,0.2,62.639933166249,66.6666666666667,52.6645480288679,56.1471861471862
glass,0,500,500,0.5,10,0.2,78.9915966386555,80.952380952381,52.6645480288679,56.1471861471862
glass,0,500,500,0.5,10,0.2,44.2176870748299,47.6190476190476,52.6645480288679,56.1471861471862
glass,1,500,500,0.2,10,0.2,40.4283435862383,50,61.642749002435,64.5454545454545
glass,1,500,500,0.2,10,0.2,55.8465064347417,59.0909090909091,61.642749002435,64.5454545454545
glass,1,500,500,0.2,10,0.2,50.852656115814,50,61.642749002435,64.5454545454545
glass,1,500,500,0.2,10,0.2,88.2775119617225,86.3636363636364,61.642749002435,64.5454545454545
glass,1,500,500,0.2,10,0.2,65.4901960784314,71.4285714285714,61.642749002435,64.5454545454545
glass,1,500,500,0.2,10,0.2,66.1904761904762,66.6666666666667,61.642749002435,64.5454545454545
glass,1,500,500,0.2,10,0.2,66.4915966386555,71.4285714285714,61.642749002435,64.5454545454545
glass,1,500,500,0.2,10,0.2,46.3631606488749,47.6190476190476,61.642749002435,64.5454545454545
glass,1,500,500,0.2,10,0.2,48.2517482517483,52.3809523809524,61.642749002435,64.5454545454545
glass,1,500,500,0.2,10,0.2,88.2352941176471,90.4761904761905,61.642749002435,64.5454545454545
glass,2,500,500,0.5,10,0.5,53.7525632262474,59.0909090909091,56.0591802833118,60.3679653679654
glass,2,500,500,0.5,10,0.5,59.5016466786802,63.6363636363636,56.0591802833118,60.3679653679654
glass,2,500,500,0.5,10,0.5,47.9642683519689,54.5454545454545,56.0591802833118,60.3679653679654
glass,2,500,500,0.5,10,0.5,36.9318181818182,45.4545454545455,56.0591802833118,60.3679653679654
glass,2,500,500,0.5,10,0.5,58.2142857142857,61.9047619047619,56.0591802833118,60.3679653679654
glass,2,500,500,0.5,10,0.5,73.5449735449735,71.4285714285714,56.0591802833118,60.3679653679654
glass,2,500,500,0.5,10,0.5,46.3631606488749,47.6190476190476,56.0591802833118,60.3679653679654
glass,2,500,500,0.5,10,0.5,48.0519480519481,57.1428571428571,56.0591802833118,60.3679653679654
glass,2,500,500,0.5,10,0.5,43.2699395547693,47.6190476190476,56.0591802833118,60.3679653679654
glass,2,500,500,0.5,10,0.5,92.9971988795518,95.2380952380952,56.0591802833118,60.3679653679654
machine,0,500,500,0.2,10,0.2,0.085715129419441,0.025444447384604,0.076944363025831,0.02161510228486
machine,0,500,500,0.2,10,0.2,0.080330798622158,0.013030838591791,0.076944363025831,0.02161510228486
machine,0,500,500,0.2,10,0.2,0.125840209082444,0.061157474060364,0.076944363025831,0.02161510228486
machine,0,500,500,0.2,10,0.2,0.115556186733551,0.063887611290411,0.076944363025831,0.02161510228486
machine,0,500,500,0.2,10,0.2,0.05135085118765,0.007360049828617,0.076944363025831,0.02161510228486
machine,0,500,500,0.2,10,0.2,0.060687194306423,0.01015802142986,0.076944363025831,0.02161510228486
machine,0,500,500,0.2,10,0.2,0.070773795603163,0.008371261808962,0.076944363025831,0.02161510228486
machine,0,500,500,0.2,10,0.2,0.058204775251731,0.008918828780231,0.076944363025831,0.02161510228486
machine,0,500,500,0.2,10,0.2,0.053182608491496,0.007188586920238,0.076944363025831,0.02161510228486
machine,0,500,500,0.2,10,0.2,0.067802081560251,0.010633902753524,0.076944363025831,0.02161510228486
machine,1,500,500,0.5,10,0.2,0.011548796749955,0.000454446547034,0.016972923001969,0.002765924300051
machine,1,500,500,0.5,10,0.2,0.011300950845937,0.000428706166017,0.016972923001969,0.002765924300051
machine,1,500,500,0.5,10,0.2,0.039777052444676,0.009761897105966,0.016972923001969,0.002765924300051
machine,1,500,500,0.5,10,0.2,0.038056419671212,0.014572967876852,0.016972923001969,0.002765924300051
machine,1,500,500,0.5,10,0.2,0.008082721829287,0.000155521415809,0.016972923001969,0.002765924300051
machine,1,500,500,0.5,10,0.2,0.008269143887832,0.000246677936702,0.016972923001969,0.002765924300051
machine,1,500,500,0.5,10,0.2,0.013922231215084,0.000365980442252,0.016972923001969,0.002765924300051
machine,1,500,500,0.5,10,0.2,0.011177237646579,0.000359946003801,0.016972923001969,0.002765924300051
machine,1,500,500,0.5,10,0.2,0.012223366801122,0.000443071034223,0.016972923001969,0.002765924300051
machine,1,500,500,0.5,10,0.2,0.015371308928001,0.000870028471853,0.016972923001969,0.002765924300051
machine,2,500,500,0.5,10,0.5,0.019920096563219,0.001548286026986,0.017303550627204,0.002030237382521
machine,2,500,500,0.5,10,0.5,0.030004025806407,0.001084036030316,0.017303550627204,0.002030237382521
machine,2,500,500,0.5,10,0.5,0.023096815429433,0.002067227325188,0.017303550627204,0.002030237382521
machine,2,500,500,0.5,10,0.5,0.036187864198406,0.014236085894509,0.017303550627204,0.002030237382521
machine,2,500,500,0.5,10,0.5,0.006817658195091,9.04370892112559E-05,0.017303550627204,0.002030237382521
machine,2,500,500,0.5,10,0.5,0.008911521309867,0.000185754819385,0.017303550627204,0.002030237382521
machine,2,500,500,0.5,10,0.5,0.014992347355208,0.000387332816559,0.017303550627204,0.002030237382521
machine,2,500,500,0.5,10,0.5,0.009298854201266,0.000253706677554,0.017303550627204,0.002030237382521
machine,2,500,500,0.5,10,0.5,0.015576648113608,0.000307086358271,0.017303550627204,0.002030237382521
machine,2,500,500,0.5,10,0.5,0.008229675099536,0.000142420787235,0.017303550627204,0.002030237382521
soybean,0,500,500,0.2,10,0.2,100,100,100,100
soybean,0,500,500,0.2,10,0.2,100,100,100,100
soybean,0,500,500,0.2,10,0.2,100,100,100,100
soybean,0,500,500,0.2,10,0.2,100,100,100,100
soybean,0,500,500,0.2,10,0.2,100,100,100,100
soybean,0,500,500,0.2,10,0.2,100,100,100,100
soybean,0,500,500,0.2,10,0.2,100,100,100,100
soybean,0,500,500,0.2,10,0.2,100,100,100,100
soybean,0,500,500,0.2,10,0.2,100,100,100,100
soybean,0,500,500,0.2,10,0.2,100,100,100,100
soybean,1,500,500,0.2,10,0.2,100,100,95.6666666666667,95.5
soybean,1,500,500,0.2,10,0.2,100,100,95.6666666666667,95.5
soybean,1,500,500,0.2,10,0.2,73.3333333333333,80,95.6666666666667,95.5
soybean,1,500,500,0.2,10,0.2,100,100,95.6666666666667,95.5
soybean,1,500,500,0.2,10,0.2,100,100,95.6666666666667,95.5
soybean,1,500,500,0.2,10,0.2,83.3333333333333,75,95.6666666666667,95.5
soybean,1,500,500,0.2,10,0.2,100,100,95.6666666666667,95.5
soybean,1,500,500,0.2,10,0.2,100,100,95.6666666666667,95.5
soybean,1,500,500,0.2,10,0.2,100,100,95.6666666666667,95.5
soybean,1,500,500,0.2,10,0.2,100,100,95.6666666666667,95.5
soybean,2,500,500,0.2,10,0.2,100,100,94.8333333333333,95.5
soybean,2,500,500,0.2,10,0.2,100,100,94.8333333333333,95.5
soybean,2,500,500,0.2,10,0.2,75,75,94.8333333333333,95.5
soybean,2,500,500,0.2,10,0.2,100,100,94.8333333333333,95.5
soybean,2,500,500,0.2,10,0.2,73.3333333333333,80,94.8333333333333,95.5
soybean,2,500,500,0.2,10,0.2,100,100,94.8333333333333,95.5
soybean,2,500,500,0.2,10,0.2,100,100,94.8333333333333,95.5
soybean,2,500,500,0.2,10,0.2,100,100,94.8333333333333,95.5
soybean,2,500,500,0.2,10,0.2,100,100,94.8333333333333,95.5
soybean,2,500,500,0.2,10,0.2,100,100,94.8333333333333,95.5
